"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","18494.0912637219","17999.335236767","17514.7877699482","17034.61350948","16561.4304858555","16096.6162961646","15638.3130772302","15188.6421823308","14751.9356102523","14328.5480289181","13918.4940211687","13527.7167690868","13142.638292516","12756.9762506645","12381.9779534056","12021.3403301175","11669.8817603039","11304.2220195123","10927.0813276828","10562.8986943599","10237.9695743563","9931.39979887315","9617.51636628477","9311.41689511041","9017.56502497453","8739.07957594262","8475.30757536108","8232.45043170511","8003.60729657573","7780.26148247163","7582.04502867103","7395.37676891353","6310.53742735743","6143.93028186754","5986.76834610805","5828.53817784451","5679.78049401906","5533.70010091246","5389.99988979191","5253.04056923747","5119.96149373645","4989.19522825868","4860.46004723497","4733.79279318885","4610.07097843965","4489.2873559357","4370.96833608912","4254.9325940004","4141.72120878727","4031.10541782027","3924.60080822626","3548.24692058658","3452.05527090123","3359.95288337459","3270.54921598995","3185.30645244006","3102.2439053959","3018.5615793801","2937.50605642446","2859.26082461881","2784.4939619","","",
"Afghanistan","AFG","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","5013.60745165617","4909.1638106231","4804.20544759198","4698.08314222149","4592.65399392874","4487.92918380892","4383.22412303445","4279.59060065756","4176.21483122246","4076.01636527054","3977.66232574211","3878.10527044788","3781.33930306428","3691.10457106703","3610.30152641098","3534.28246495176","3463.99767666039","3452.80426656762","3580.2936083748","3949.71141975916","4289.72600159871","4318.5636319972","4213.50034105671","4126.24579367966","4128.69478779209","4140.389317778","4091.71055022616","3970.83127563144","3914.2728584403","3852.47701198778","3550.72613290756","3155.28724423436","2901.39669483226","2762.82978460592","2654.35421616723","2555.2659587469","2460.85646364436","2370.80197719354","2342.23716286377","2324.45702976197","2205.52633330616","2074.0728619377","2001.21779302052","1932.01542973493","1854.5400280537","1819.77110482916","1780.41283072348","1716.66156765389","1667.01497792628","1606.59905707117","1542.86477560856","1491.01733994664","1437.82776335935","1393.66070300088","1358.76566096298","1321.13777001191","1283.23626143172","1245.50531735674","1206.83983064927","1178.73785900005","","",
"Africa Western and Central","AFW","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","19040.2500037259","18638.6976372512","18238.5920534004","17844.419938858","17453.2873305851","17065.0966053875","16682.9797708457","16303.3701268988","15926.0396343494","15549.9538458524","15178.6619757296","14811.140020728","14442.303823915","14071.7348794541","13700.2318208776","13337.6168681946","12980.0251849847","12622.3868340162","12270.0297697716","11927.382868299","11592.6436943829","11261.0177133192","10957.4804748813","10672.5435028252","10384.7121091233","10104.0432134394","9831.16138757871","9564.6509396399","9303.23848101389","9058.9108880914","8822.62008552156","8582.79397196206","8354.08984324521","8135.23806108691","7916.70206915605","7704.22483986657","7497.56373805928","7293.33767717791","7096.80487597342","6904.21038347069","6713.47049452456","6527.39748081943","6346.26577814355","6169.27250978227","5996.55434078403","5829.45891595143","5667.25277196377","5509.33409796853","5357.62094402295","5210.36615965928","5065.34132622586","4926.40201548084","4793.67474107853","4664.56289255205","4540.33383019493","4420.58221720467","4305.99593262525","4198.26879683334","4097.06870902533","4000.34261799599","3906.89023878505","","",
"Angola","AGO","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","27916.1903152323","27641.2833773166","27365.2446600793","27085.456628772","26801.9755953525","26516.7110821577","26232.7300455333","25952.6234858266","25678.0167549059","25287.0939456546","24703.3016630329","23970.4761475946","23166.5259978511","22378.9183331274","21628.1084743167","20919.7214171585","20224.5775352225","19533.4823685245","18860.2135766267","18195.516231384","17544.6769864931","16911.1006292758","16294.2064297599","15701.3901140865","15134.2861116338","14596.4524703016","14098.1141105166","13626.3727764959","13168.9445678193","12729.693558431","12309.1980732113","11912.7037072334","11538.0402560665","11170.0102733905","10803.0947654772","10443.8841284928","10095.2135523058","9762.93869732053","9446.46582501635","9138.69695395498","8837.29395371455","8541.23793355367","8248.01468057445","7956.80829409095","7671.90735694964","7394.35108548824","7122.72615991069","6858.62951143155","6602.78825933236","6353.34242691241","6111.06816846993","5878.28907153775","5656.27720650227","5449.03570292874","5256.09282373572","5071.43354006278","4895.01531660215","4728.86433287626","4571.3393332368","4424.36447292725","4285.82651976205","","",
"Albania","ALB","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","16206.7719002289","15718.869480208","15261.3636170226","14828.0034286313","14425.2090448742","14050.1302379173","13685.4026102998","13301.8703715425","12922.1619881875","12596.7054698267","12295.1587698077","11992.1930377518","11712.1918256738","11446.2045406966","11185.8172154301","10941.5153632705","10702.0122170034","10482.1557858772","10275.6785003774","10067.3765726533","9867.73565913539","9661.39157081297","9458.64217499543","9261.7171912276","9073.24095492319","8899.51978985223","8723.55570833489","8560.51039736043","8333.48048586979","8184.89464001981","8234.38298758108","8284.47086715004","8335.17440500334","8386.49979298751","8438.46383569276","8491.07316748279","8544.34531098082","8598.28737458167","8652.91764159422","8708.24372852681","8790.35270228186","8816.75248524259","8849.80208026277","8886.86557608197","8932.46426101125","8988.99833486324","9057.18721475332","9126.95423697645","9188.66794715935","9234.39961469553","9259.27519495249","9274.57961847344","9291.58727943706","9310.84516168334","9337.99839830763","9352.93996977158","9361.54604018783","9384.67249237365","9424.7371672043","9479.0103349403","9567.2814623074","","",
"Andorra","AND","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","28468.3384448854","26487.6206462442","24725.7912879975","23148.0123221358","21578.0117598797","19928.0166698238","18374.4760130415","17008.8924818108","15798.167893077","14718.7762335603","13747.4408677092","12869.5510337234","12078.0711825488","11363.5545313794","10721.5654300856","10148.8889603499","9641.05697265923","9199.55692881712","8820.0771337544","8490.94675670586","8141.57465689815","7780.1060027117","7465.75828543042","7201.36908157444","6900.77404119474","6622.87788806581","6386.59543467703","6234.68984591071","6000.34222484172","5569.37900365292","5242.52491694352","4987.98836768239","4884.54157122516","4938.03980473151","4932.48312078019","4877.89799072643","4827.01661007617","4802.92192969107","4804.74994290934","4792.56514608516","4745.43650196975","4541.9221138071","4246.21594349142","4076.41337621576","3965.57140164604","3854.56233130183","3779.86705790766","3762.15906923517","3910.48992639952","4057.44185747528","4107.55655048546","4197.14338910019","4280.07648805891","4372.7658159448","4372.34175198459","4278.56784566788","4198.93031052926","4126.89280016738","4078.573274748","4027.35950181206","","",
"Arab World","ARB","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","1265.76933032214","1233.76219042372","1202.02049351088","1171.01496419942","1140.85575361201","1110.69873151283","1080.29616480553","1050.31246323965","1020.91373452931","992.576389843217","965.315735164163","938.771893055095","912.75117174345","887.133141407918","860.75983154377","834.072266954978","808.657020714475","783.079233553385","756.600796393712","731.484814850588","709.206566827414","688.191267989575","667.018741060601","645.778218169741","625.319378921853","605.796607080021","587.347304375569","570.852206799336","555.406240264791","540.746067216708","528.223831947339","514.574169273605","500.173318897165","486.522728252434","474.432190331842","462.889847556864","451.800869927461","441.048155332248","430.669180557161","420.428369347478","410.384709275041","400.710547495973","391.401712736013","382.343087069114","373.337992032818","364.374059727728","355.27021819548","346.35986332563","338.011387570026","331.484471466435","323.826808499105","295.981806186443","288.468512767098","281.782265106256","274.94042593786","268.641637113161","263.305666883437","258.666288561009","253.843671098345","248.56121597069","244.825424230904","","",
"United Arab Emirates","ARE","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","1087.04317010776","1034.8681577967","985.474111595088","939.308168223831","897.649952424553","862.18788798455","834.724540901502","752.1964135275","625.886672786447","523.494430019265","447.725108722581","389.596222475027","343.722144184565","306.693901085083","276.31637119236","243.559475600212","211.205433893403","185.351314882228","164.471880790781","147.681401988776","136.381613940019","128.60413076468","121.427501710104","114.854869387043","108.860441639554","102.222800727554","95.2838314772043","89.1907898022819","83.80585869997","79.0213989948478","74.7523454794267","70.9310408420933","67.5039253532593","64.4277867594885","61.6101947621477","57.7464116379808","53.2403874480463","49.3352729769989","45.9276137940832","42.9359610141474","40.283704704331","37.9091726550523","35.778542272467","33.867942569904","32.1557883634633","29.9454991914715","26.6683971493261","23.7994600378507","22.3645002026224","21.8345760118361","21.113265915391","20.2937232325791","19.4981665873958","18.6117149578631","17.6361928538852","16.7877342098769","16.2632918529039","16.0484431886716","15.880098901256","15.9556848935192","15.6655476591912","","",
"Argentina","ARG","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","14088.3967771152","13856.8975412454","13631.0345044897","13413.2906325207","13205.1236422408","13004.426448456","12807.546136005","12613.0732863185","12420.9277148373","12228.6624184349","12037.6590743667","11848.5681573464","11658.5459437543","11468.3623818705","11285.4136376571","11110.1459488888","10935.5903093443","10762.1369446544","10591.6468541811","10424.2542981128","10258.5870082233","10095.3310407712","9934.90189556567","9777.95568596997","9625.38750013556","9476.8333615691","9331.52949328964","9188.01485135617","9048.38618313909","8914.42430479931","8787.16270159993","8666.35303570327","8549.83221393484","8436.01704318123","8326.19998505846","8222.1575149689","8122.89133426863","8027.96370700572","7935.92943675937","7846.51275176557","7760.83343909241","7678.28026716944","7599.36125807113","7522.68734299611","7445.79062809043","7369.62173775933","7296.94203401709","7223.40517850865","7147.25756667553","7072.15394122178","6997.2533384327","6925.71349257778","6857.28429701857","6786.89843181042","6716.19291592532","6651.43321415499","6593.07500431146","6539.03866546999","6492.71742793223","6461.32559183917","6444.16907637027","","",
"Armenia","ARM","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1920.28749159052","1986.1976780686","2038.57207819034","2073.72094591183","2091.96534639122","2112.87411564405","2137.82504119653","2165.57645883574","2129.39678991649","2135.56261286506","2143.57147321708","2155.22388059702","2167.20907453632","2179.95169082126","2193.40603114707","2207.31157881187","2221.82630948139","2237.11676451402","2252.69311613242","2265.26635622048","2268.11282695678","2269.68894771674","2275.8643572898","2282.83298941623","2292.21668950306","2302.14137074579","2310.20545638262","2315.27426160338","2316.05605267601","2315.43057759174","","",
"American Samoa","ASM","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","919.702865228157","906.934561183201","894.423612783377","881.057268722467","867.100216775054","853.858784893268","840.920484499571","827.906828639208","814.804368604961","805.851723282916","803.349348823557","804.766695039851","808.18128127817","811.764338568173","814.549100079888","815.5327624604","814.255738937083","812.017864393017","809.036313283754","806.039092896005","804.144436712286","802.65493555607","800.813133335387","801.45494898431","805.065721230512","809.011139461074","813.186125793638","817.314493186426","821.160679036715","824.533028890369","820.35748655087","807.403266877834","792.840044521018","777.942342504077","762.586340905425","746.997644084353","731.848057084148","718.113019941446","705.88874107458","694.147800085434","683.589898644652","675.044137501298","667.659596322736","660.577497173491","653.176068633731","645.12927398144","636.443748164104","627.170976456966","617.775296116332","609.470229723394","602.325904647176","595.920238368095","590.479651162791","585.816481721399","581.596930957734","577.976858695773","574.78887562453","571.893627785232","569.151963574274","566.165102454108","563.081354427227","","",
